Sno,time,distance,Diffusion
57,157.0552147,0.000372668,Db
58,115.3374233,0.003230362,Dgb
59,500.6134969,0.006730036,Dgb
60,388.9570552,0.000586471,Db
61,429.4478528,0.000616242,Db
62,438.0368098,0.006295372,Dgb
63,180.3680982,0.004039671,Dgb
64,152.1472393,0.003710207,Dgb
65,278.5276074,0.00501996,Dgb
66,411.0429448,0.000602892,Db
67,310.4294479,0.005299655,Dgb
68,472.392638,0.00653759,Dgb
69,36.80981595,0.000180417,Db
70,310.4294479,0.000523935,Db
71,74.84662577,0.002602269,Dgb
72,549.6932515,0.007052227,Dgb
73,13.49693252,0.001105054,Dgb
74,412.2699387,0.006107408,Dgb
75,163.190184,0.003842493,Dgb
76,184.0490798,0.000403425,Db
77,575.4601227,0.007215621,Dgb
78,423.3128834,0.000611824,Db
79,336.196319,0.005515217,Dgb
80,225.7668712,0.004519561,Dgb
81,125.1533742,0.003365018,Dgb
82,429.4478528,0.006233347,Dgb
83,348.4662577,0.005614957,Dgb
84,355.8282209,0.00056094,Db
85,30.67484663,0.001665932,Dgb
86,568.0981595,0.007169317,Dgb
87,577.9141104,0.00723099,Dgb
88,99.38650307,0.000296456,Db
89,597.5460123,0.007352784,Dgb
90,418.404908,0.000608267,Db
91,376.6871166,0.000577147,Db
92,451.5337423,0.006391624,Dgb
93,77.3006135,0.000261449,Db
94,585.2760736,0.00071941,Db
95,523.9263804,0.006884957,Dgb
96,350.9202454,0.005634694,Dgb
97,161.9631902,0.003828021,Dgb
98,538.6503067,0.006981031,Dgb
99,260.1226994,0.000479607,Db
100,528.8343558,0.00691713,Dgb
101,71.16564417,0.00025086,Db
102,277.3006135,0.00500889,Dgb
103,484.6625767,0.006621949,Dgb
104,487.1165644,0.006638693,Dgb
105,390.1840491,0.000587396,Db
106,31.90184049,0.000167959,Db
107,195.0920245,0.004201321,Dgb
108,269.9386503,0.004941953,Dgb
109,419.6319018,0.006161697,Dgb
110,300.6134969,0.000515585,Db
111,121.4723926,0.003315163,Dgb
112,520.2453988,0.000678266,Db
113,282.208589,0.000499552,Db
114,287.1165644,0.005096772,Dgb
115,471.1656442,0.006529094,Dgb
116,569.3251534,0.000709539,Db
117,99.38650307,0.002998678,Dgb
118,157.0552147,0.003769574,Dgb
119,173.006135,0.000391135,Db
120,190.1840491,0.004148138,Dgb
121,134.9693252,0.003494489,Dgb
122,126.3803681,0.0003343,Db
123,365.6441718,0.00575169,Dgb
124,473.6196319,0.006546075,Dgb
125,397.5460123,0.005997356,Dgb
126,228.2208589,0.000449235,Db
127,471.1656442,0.00064548,Db
128,531.2883436,0.00693316,Dgb
129,593.8650307,0.007330101,Dgb
